sample_id,plate_id,site_id,pre_post,tmt,replicate,bd_load
AJF46,36,11526,pre,treated,1,0
AJF46,37,11526,pre,treated,2,0
AJF46,38,11526,pre,treated,3,0
AJF47,36,11526,pre,treated,1,8394.26
AJF47,37,11526,pre,treated,2,0
AJF47,38,11526,pre,treated,3,0
AJF48,36,11526,pre,treated,1,11035.52
AJF48,37,11526,pre,treated,2,0
AJF48,38,11526,pre,treated,3,0
AJF49,36,11526,pre,treated,1,0
AJF49,37,11526,pre,treated,2,0
AJF49,38,11526,pre,treated,3,0
AJF50,36,11526,pre,treated,1,0
AJF50,37,11526,pre,treated,2,0
AJF50,38,11526,pre,treated,3,0
AJF51,36,11526,pre,treated,1,0
AJF51,37,11526,pre,treated,2,0
AJF51,38,11526,pre,treated,3,0
AJF52,36,11518,pre,treated,1,40830.55
AJF52,37,11518,pre,treated,2,30724.85
AJF52,38,11518,pre,treated,3,0
AJF53,36,11518,pre,treated,1,40832.38
AJF53,37,11518,pre,treated,2,0
AJF53,38,11518,pre,treated,3,0
AJF54,36,11518,pre,treated,1,0
AJF54,37,11518,pre,treated,2,0
AJF54,38,11518,pre,treated,3,4407.95
AJF55,36,11518,pre,treated,1,0
AJF55,37,11518,pre,treated,2,0
AJF55,38,11518,pre,treated,3,0
AJF56,36,11518,pre,treated,1,0
AJF56,37,11518,pre,treated,2,0
AJF56,38,11518,pre,treated,3,0
AJF57,36,11518,pre,treated,1,28061
AJF57,37,11518,pre,treated,2,11211.02
AJF57,38,11518,pre,treated,3,30004.78
AJF58,36,11517,pre,control,1,4852.58
AJF58,37,11517,pre,control,2,8898.84
AJF58,38,11517,pre,control,3,0
AJF59,36,11517,pre,control,1,0
AJF59,37,11517,pre,control,2,0
AJF59,38,11517,pre,control,3,0
AJF60,36,11517,pre,control,1,8704.68
AJF60,37,11517,pre,control,2,0
AJF60,38,11517,pre,control,3,38186
AJF61,36,11517,pre,control,1,0
AJF61,37,11517,pre,control,2,0
AJF61,38,11517,pre,control,3,6354.54
AJF62,36,11517,pre,control,1,19645.98
AJF62,37,11517,pre,control,2,18511.19
AJF62,38,11517,pre,control,3,8700.16
AJF63,36,11517,pre,control,1,0
AJF63,37,11517,pre,control,2,0
AJF63,38,11517,pre,control,3,0
AJF70,36,11506,pre,treated,1,0
AJF70,37,11506,pre,treated,2,0
AJF70,38,11506,pre,treated,3,0
AJF71,36,11506,pre,treated,1,0
AJF71,37,11506,pre,treated,2,0
AJF71,38,11506,pre,treated,3,0
AJF72,36,11506,pre,treated,1,0
AJF72,37,11506,pre,treated,2,0
AJF72,38,11506,pre,treated,3,0
AJF73,36,11506,pre,treated,1,0
AJF73,37,11506,pre,treated,2,0
AJF73,38,11506,pre,treated,3,0
AJF74,36,11506,pre,treated,1,0
AJF74,37,11506,pre,treated,2,0
AJF74,38,11506,pre,treated,3,0
AJF75,36,11506,pre,treated,1,0
AJF75,37,11506,pre,treated,2,0
AJF75,38,11506,pre,treated,3,0
AJF76,36,11525,pre,control,1,0
AJF76,37,11525,pre,control,2,0
AJF76,38,11525,pre,control,3,4273.44
AJF77,36,11525,pre,control,1,3.41
AJF77,37,11525,pre,control,2,0
AJF77,38,11525,pre,control,3,0
AJF78,36,11525,pre,control,1,49643.46
AJF78,37,11525,pre,control,2,12792.04
AJF78,38,11525,pre,control,3,25248.76
AJF79,36,11525,pre,control,1,0
AJF79,37,11525,pre,control,2,0
AJF79,38,11525,pre,control,3,2642.69
AJF80,36,11525,pre,control,1,0
AJF80,37,11525,pre,control,2,7907.7
AJF80,38,11525,pre,control,3,10186.37
AJF81,36,11525,pre,control,1,21563.79
AJF81,37,11525,pre,control,2,22134.43
AJF81,38,11525,pre,control,3,20406.56
AJF114,36,11518,post,treated,1,5285.48
AJF114,37,11518,post,treated,2,10681.77
AJF114,38,11518,post,treated,3,8536.07
AJF115,36,11518,post,treated,1,0
AJF115,37,11518,post,treated,2,0
AJF115,38,11518,post,treated,3,9759.7
AJF116,36,11518,post,treated,1,0
AJF116,37,11518,post,treated,2,5635.72
AJF116,38,11518,post,treated,3,509.32
AJF117,36,11518,post,treated,1,5363.1
AJF117,37,11518,post,treated,2,0
AJF117,38,11518,post,treated,3,0
AJF118,36,11518,post,treated,1,0
AJF118,37,11518,post,treated,2,0
AJF118,38,11518,post,treated,3,6034.67
AJF119,36,11518,post,treated,1,0
AJF119,37,11518,post,treated,2,0
AJF119,38,11518,post,treated,3,468.58
AJF126,36,11517,post,control,1,57408
AJF126,37,11517,post,control,2,11856.16
AJF126,38,11517,post,control,3,10303.1
AJF127,36,11517,post,control,1,0
AJF127,37,11517,post,control,2,4342.27
AJF127,38,11517,post,control,3,0
AJF128,36,11517,post,control,1,0
AJF128,37,11517,post,control,2,0
AJF128,38,11517,post,control,3,23.78
AJF129,36,11517,post,control,1,0
AJF129,37,11517,post,control,2,0
AJF129,38,11517,post,control,3,0
AJF130,36,11517,post,control,1,0
AJF130,37,11517,post,control,2,0
AJF130,38,11517,post,control,3,0
AJF131,36,11517,post,control,1,0
AJF131,37,11517,post,control,2,0
AJF131,38,11517,post,control,3,0
AJF132,36,11525,post,control,1,1237371.35
AJF132,37,11525,post,control,2,1279391.77
AJF132,38,11525,post,control,3,1097460.18
AJF133,36,11525,post,control,1,86092.62
AJF133,37,11525,post,control,2,67386.84
AJF133,38,11525,post,control,3,73011.78
AJF134,36,11525,post,control,1,91673.03
AJF134,37,11525,post,control,2,41564.53
AJF134,38,11525,post,control,3,141835.95
AJF135,36,11525,post,control,1,43693.96
AJF135,37,11525,post,control,2,47558.99
AJF135,38,11525,post,control,3,32881.07
AJF136,36,11525,post,control,1,55525.5
AJF136,37,11525,post,control,2,76476.02
AJF136,38,11525,post,control,3,71217.26
AJF137,36,11525,post,control,1,97502.52
AJF137,37,11525,post,control,2,124100.92
AJF137,38,11525,post,control,3,131254.97
AJF138,36,11526,post,treated,1,24888.24
AJF138,37,11526,post,treated,2,24747.21
AJF138,38,11526,post,treated,3,34502.28
AJF139,36,11526,post,treated,1,3561.91
AJF139,37,11526,post,treated,2,24250.74
AJF139,38,11526,post,treated,3,4025.76
AJF140,36,11526,post,treated,1,77970.43
AJF140,37,11526,post,treated,2,63325.47
AJF140,38,11526,post,treated,3,61796.23
AJF141,36,11526,post,treated,1,37381.89
AJF141,37,11526,post,treated,2,20182.4
AJF141,38,11526,post,treated,3,15392.8
AJF142,36,11526,post,treated,1,51991.44
